camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 08:20:52,1,0,0,10,40245,"0,2622028016","0,3233538878"
587ee2aeb807da0011e33d52,2025-11-27 08:21:13,3,0,0,15,39895,"0,508957665","0,3301970221"
587ee2aeb807da0011e33d52,2025-11-27 08:21:34,6,0,0,20,31962,"0,3954385091","0,4853015491"
587ee2aeb807da0011e33d52,2025-11-27 08:21:53,1,0,0,11,40957,"0,3410911297","0,3094329974"
587ee2aeb807da0011e33d52,2025-11-27 08:22:13,3,0,0,7,40518,"0,3434907021","0,318016243"
587ee2aeb807da0011e33d52,2025-11-27 08:22:34,6,0,0,14,35632,"0,4515543927","0,413546398"
587ee2aeb807da0011e33d52,2025-11-27 08:22:53,2,0,0,10,45502,"0,4328850435","0,2205700105"
587ee2aeb807da0011e33d52,2025-11-27 08:23:11,0,0,0,18,45029,"0,4097390753","0,2298180177"
587ee2aeb807da0011e33d52,2025-11-27 08:23:30,0,0,0,6,46564,"0,2759001073","0,1998059859"
587ee2aeb807da0011e33d52,2025-11-27 08:23:50,4,0,0,13,38447,"0,4906325523","0,3585080463"
587ee2aeb807da0011e33d52,2025-11-27 08:24:10,7,0,0,12,35973,"0,5163364494","0,40687923"
587ee2aeb807da0011e33d52,2025-11-27 08:24:28,2,0,0,11,42477,"0,5512501684","0,2797142427"
587ee2aeb807da0011e33d52,2025-11-27 08:24:48,0,0,0,7,46211,"0,5148757698","0,2067077756"
587ee2aeb807da0011e33d52,2025-11-27 08:25:09,4,0,0,9,41407,"0,6244457679","0,3006346819"
587ee2aeb807da0011e33d52,2025-11-27 08:25:27,7,0,0,14,42569,"0,4639732357","0,277915476"
587ee2aeb807da0011e33d52,2025-11-27 08:25:46,3,0,0,12,42184,"0,3412499199","0,2854429237"
587ee2aeb807da0011e33d52,2025-11-27 08:26:05,1,0,0,11,43311,"0,583317412","0,2634080313"
587ee2aeb807da0011e33d52,2025-11-27 08:26:23,5,0,0,14,44266,"0,4914349854","0,2447360505"
587ee2aeb807da0011e33d52,2025-11-27 08:26:42,4,0,1,11,32841,"0,3551112608","0,4681155061"
587ee2aeb807da0011e33d52,2025-11-27 08:27:01,3,0,0,10,42355,"0,4631613422","0,2820995638"
587ee2aeb807da0011e33d52,2025-11-27 08:27:20,3,0,0,4,44454,"0,2457349258","0,2410603098"
587ee2aeb807da0011e33d52,2025-11-27 08:27:38,8,0,1,9,32321,"0,3171016976","0,4782824485"
587ee2aeb807da0011e33d52,2025-11-27 08:27:56,1,0,0,12,45906,"0,4383478556","0,2126710784"
587ee2aeb807da0011e33d52,2025-11-27 08:28:14,2,0,0,9,41201,"0,3338693172","0,3046623552"
587ee2aeb807da0011e33d52,2025-11-27 08:28:34,2,0,0,16,43969,"0,4988566783","0,2505429388"
587ee2aeb807da0011e33d52,2025-11-27 08:28:53,3,0,0,15,43550,"0,3817082833","0,2587351481"
587ee2aeb807da0011e33d52,2025-11-27 08:29:11,4,0,0,17,43356,"0,4456257989","0,2625281997"
587ee2aeb807da0011e33d52,2025-11-27 08:29:30,2,0,0,12,43103,"0,2956460851","0,2674748082"
587ee2aeb807da0011e33d52,2025-11-27 08:29:49,2,0,0,13,45804,"0,5735812301","0,2146653632"
587ee2aeb807da0011e33d52,2025-11-27 08:30:07,6,0,1,5,32605,"0,3916952867","0,4727297338"
587ee2aeb807da0011e33d52,2025-11-27 08:30:25,6,0,0,15,33034,"0,4686883399","0,4643420063"
587ee2aeb807da0011e33d52,2025-11-27 08:30:43,4,0,0,8,39851,"0,5832014034","0,3310573018"
587ee2aeb807da0011e33d52,2025-11-27 08:31:01,3,0,0,6,40980,"0,2051338673","0,3089833058"
587ee2aeb807da0011e33d52,2025-11-27 08:31:19,5,0,0,14,37673,"0,4443505075","0,373641149"
587ee2aeb807da0011e33d52,2025-11-27 08:31:37,6,0,0,7,40341,"0,5078635564","0,3214769138"
587ee2aeb807da0011e33d52,2025-11-27 08:32:00,4,0,0,11,35244,"0,5148196708","0,4211325011"
587ee2aeb807da0011e33d52,2025-11-27 08:32:19,3,0,0,4,45507,"0,2577990562","0,2204722515"
587ee2aeb807da0011e33d52,2025-11-27 08:32:38,3,0,0,18,40718,"0,3910766503","0,3141058806"
587ee2aeb807da0011e33d52,2025-11-27 08:32:56,9,0,0,9,22167,"0,357441626","0,6768115506"
587ee2aeb807da0011e33d52,2025-11-27 08:33:15,3,0,0,10,42290,"0,4111384596","0,2833704316"
587ee2aeb807da0011e33d52,2025-11-27 08:33:33,1,0,0,9,44928,"0,5334949795","0,2317927508"
587ee2aeb807da0011e33d52,2025-11-27 08:33:53,6,0,0,6,37656,"0,3425450097","0,3739735299"
587ee2aeb807da0011e33d52,2025-11-27 08:34:13,2,0,0,9,46822,"0,5056571554","0,1947616183"
587ee2aeb807da0011e33d52,2025-11-27 08:34:33,6,0,0,13,42265,"0,4578978907","0,283859227"
587ee2aeb807da0011e33d52,2025-11-27 08:34:51,3,0,0,16,40856,"0,5720420527","0,3114077305"
587ee2aeb807da0011e33d52,2025-11-27 08:35:10,9,0,0,5,34945,"0,3469125411","0,426978493"
587ee2aeb807da0011e33d52,2025-12-01 11:21:10,2,0,0,16,62384,"0,3461019371","0,07441995865"
587ee2aeb807da0011e33d52,2025-12-01 11:21:29,6,0,0,8,52089,"0,2490765222","0,1696506693"
587ee2aeb807da0011e33d52,2025-12-01 11:21:46,1,0,0,8,61481,"0,2214161857","0,08277288062"
587ee2aeb807da0011e33d52,2025-12-01 11:22:03,2,0,0,15,57459,"0,3801040153","0,1199771466"
587ee2aeb807da0011e33d52,2025-12-01 11:22:20,4,0,2,14,55965,"0,4282852699","0,1337969311"
587ee2aeb807da0011e33d52,2025-12-01 11:22:37,3,0,1,16,63461,"0,5019166756","0,06445750354"
587ee2aeb807da0011e33d52,2025-12-01 11:22:54,2,1,0,10,61697,"0,305042172","0,08077483948"
587ee2aeb807da0011e33d52,2025-12-01 11:23:11,4,0,0,10,63578,"0,3839969762","0,06337523125"
587ee2aeb807da0011e33d52,2025-12-01 11:23:28,1,0,0,4,64172,"0,230903351","0,05788061813"
587ee2aeb807da0011e33d52,2025-12-01 11:23:46,7,1,1,10,57321,"0,4144264541","0,1212536729"
587ee2aeb807da0011e33d52,2025-12-01 11:24:03,7,1,1,12,53975,"0,3936627737","0,1522048101"
587ee2aeb807da0011e33d52,2025-12-01 11:24:20,0,0,0,4,66105,"0,1285409706","0,04"
587ee2aeb807da0011e33d52,2025-12-01 11:24:37,1,0,0,8,63580,"0,4449239211","0,06335673087"
